Type,Sales per customer,Delivery Status,Category Name,Customer Segment,Customer State,Customer Zipcode,Department Name,Latitude,Longitude,Order Country,Order Customer Id,order date (DateOrders),Order Item Quantity,Sales,Order Item Total,Order Region,Order Status,Product Card Id,Product Name,Product Price,shipping date (DateOrders),Shipping Mode
DEBIT,434.9599915,Shipping on time,Cardio Equipment,Consumer,WI,54601,Footwear,43.8122406,-91.24485779,Francia,9119,7/20/2017 8:40,5,499.9500122,434.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,7/24/2017 8:40,Standard Class
DEBIT,127.5,Late delivery,Cardio Equipment,Consumer,MO,63031,Footwear,38.79660034,-90.34640503,Reino Unido,9500,09/05/15 16:38,5,150,127.5,Northern Europe,COMPLETE,172,Nike Women's Tempo Shorts,30,09/10/15 16:38,Standard Class
DEBIT,424.9599915,Late delivery,Cardio Equipment,Consumer,CA,92024,Footwear,33.04647064,-117.2896729,Alemania,9910,8/27/2015 22:26,5,499.9500122,424.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,09/01/15 22:26,Standard Class
DEBIT,419.9599915,Advance shipping,Cardio Equipment,Consumer,CA,91351,Footwear,35.30461502,-119.0659714,Alemania,5036,8/31/2017 16:19,5,499.9500122,419.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,09/03/17 16:19,Standard Class
DEBIT,419.9599915,Late delivery,Cardio Equipment,Consumer,CA,91766,Footwear,34.28066635,-119.2400665,Francia,2698,06/04/15 11:41,5,499.9500122,419.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,06/09/15 11:41,Standard Class
DEBIT,419.9599915,Shipping on time,Cardio Equipment,Consumer,NY,14850,Footwear,42.43708038,-76.48168945,Alemania,6220,09/11/15 12:26,5,499.9500122,419.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9/15/2015 12:26,Standard Class
DEBIT,134.3600006,Advance shipping,Electronics,Consumer,NY,10314,Footwear,40.58441544,-74.15991974,Alemania,1555,10/24/2015 4:29,5,159.9499969,134.3600006,Western Europe,COMPLETE,282,Under Armour Women's Ignite PIP VI Slide,31.98999977,10/26/2015 4:29,Standard Class
DEBIT,414.9599915,Late delivery,Cardio Equipment,Consumer,CA,90046,Footwear,34.09960938,-118.3507385,Francia,6947,7/29/2015 23:00,5,499.9500122,414.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,08/03/15 23:00,Standard Class
DEBIT,409.9599915,Advance shipping,Cardio Equipment,Consumer,PA,18103,Footwear,40.60349274,-75.472435,España,442,7/24/2017 4:49,5,499.9500122,409.9599915,Southern Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,7/26/2017 4:49,Standard Class
DEBIT,409.9599915,Advance shipping,Cardio Equipment,Consumer,CA,93436,Footwear,34.64638138,-120.4619675,Francia,9671,09/09/17 07:02,5,499.9500122,409.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,09/12/17 07:02,Standard Class
DEBIT,409.9599915,Late delivery,Cardio Equipment,Consumer,CA,92026,Footwear,33.13901901,-117.0928192,Alemania,5283,8/19/2017 7:35,5,499.9500122,409.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,8/25/2017 7:35,Standard Class
DEBIT,409.9599915,Advance shipping,Cardio Equipment,Consumer,CA,94553,Footwear,38.01199341,-122.1196899,Austria,3364,7/30/2017 23:44,5,499.9500122,409.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,08/01/17 23:44,Standard Class
DEBIT,409.9599915,Shipping on time,Cardio Equipment,Consumer,MI,48098,Footwear,42.5804596,-83.15601349,Francia,2170,10/07/15 19:03,5,499.9500122,409.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,10/11/15 19:03,Standard Class
DEBIT,399.9599915,Late delivery,Cardio Equipment,Consumer,IL,62040,Footwear,38.72323608,-90.06681824,Reino Unido,11348,8/26/2015 21:54,5,499.9500122,399.9599915,Northern Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,8/31/2015 21:54,Standard Class
DEBIT,399.9599915,Shipping on time,Cardio Equipment,Consumer,NV,89030,Footwear,36.19946671,-115.1088638,Alemania,10224,09/09/15 11:23,5,499.9500122,399.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9/13/2015 11:23,Standard Class
DEBIT,399.9599915,Late delivery,Cardio Equipment,Consumer,VA,22204,Footwear,38.86595917,-77.13325501,Alemania,7006,9/23/2017 20:19,5,499.9500122,399.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9/28/2017 20:19,Standard Class
DEBIT,374.9599915,Late delivery,Cardio Equipment,Consumer,NY,14150,Footwear,43.01396942,-78.87906647,Ucrania,7363,11/24/2016 12:10,5,499.9500122,374.9599915,Eastern Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,11/29/2016 12:10,Standard Class
DEBIT,374.9599915,Advance shipping,Cardio Equipment,Consumer,MI,48098,Footwear,42.60966873,-83.16378784,Reino Unido,1595,09/09/15 05:25,5,499.9500122,374.9599915,Northern Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,09/11/15 05:25,Standard Class
DEBIT,374.9599915,Late delivery,Cardio Equipment,Consumer,CA,93063,Footwear,34.26791382,-118.6712112,Alemania,7492,08/05/17 06:54,5,499.9500122,374.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,08/10/17 06:54,Standard Class
DEBIT,374.9599915,Shipping on time,Cardio Equipment,Consumer,MA,2740,Footwear,41.6280365,-70.92701721,Francia,9821,9/16/2017 23:18,5,499.9500122,374.9599915,Western Europe,COMPLETE,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9/20/2017 23:18,Standard Class
DEBIT,299.9500122,Shipping on time,Cleats,Consumer,AZ,85281,Apparel,33.41519928,-111.9199905,España,5246,8/25/2015 17:32,5,299.9500122,299.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/29/2015 17:32,Standard Class
DEBIT,299.9500122,Advance shipping,Cleats,Consumer,PA,17013,Apparel,40.20003891,-77.24391937,Italia,558,6/16/2015 6:25,5,299.9500122,299.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/18/2015 6:25,Standard Class
DEBIT,299.9500122,Advance shipping,Cleats,Consumer,TX,75227,Apparel,32.77589798,-96.68588257,España,1063,09/11/15 18:44,5,299.9500122,299.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/13/2015 18:44,Standard Class
DEBIT,299.9500122,Shipping on time,Cleats,Consumer,CA,95616,Apparel,38.54666138,-121.7412109,Alemania,2610,6/24/2015 16:34,5,299.9500122,299.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/28/2015 16:34,Standard Class
DEBIT,296.9500122,Late delivery,Cleats,Consumer,NY,11238,Apparel,40.67771912,-73.96311951,Rusia,3964,11/06/16 22:21,5,299.9500122,296.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,11/12/16 22:21,Standard Class
DEBIT,296.9500122,Shipping on time,Cleats,Consumer,AZ,85281,Apparel,33.41519928,-111.9199905,España,5246,8/25/2015 17:32,5,299.9500122,296.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/29/2015 17:32,Standard Class
DEBIT,296.9500122,Shipping on time,Cleats,Consumer,AZ,85225,Apparel,33.32296753,-111.8416901,Francia,3868,10/19/2015 13:04,5,299.9500122,296.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/23/2015 13:04,Standard Class
DEBIT,296.9500122,Advance shipping,Cleats,Consumer,AZ,85224,Apparel,33.30039215,-111.8709564,Alemania,3961,8/19/2015 10:32,5,299.9500122,296.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/22/2015 10:32,Standard Class
DEBIT,296.9500122,Shipping on time,Cleats,Consumer,CA,92833,Apparel,33.86329651,-117.9716263,Francia,1261,6/16/2015 1:52,5,299.9500122,296.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/20/2015 1:52,Standard Class
DEBIT,296.9500122,Late delivery,Cleats,Consumer,IL,60613,Apparel,41.95449448,-87.65029144,Alemania,9341,6/27/2017 20:06,5,299.9500122,296.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,07/03/17 20:06,Standard Class
DEBIT,296.9500122,Shipping on time,Cleats,Consumer,IL,60123,Apparel,42.03330612,-88.29245758,Bélgica,2550,06/11/15 18:31,5,299.9500122,296.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/15/2015 18:31,Standard Class
DEBIT,296.9500122,Late delivery,Cleats,Consumer,PA,17013,Apparel,40.08877564,-75.2024765,Alemania,12045,08/09/17 09:00,5,299.9500122,296.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/14/2017 9:00,Standard Class
DEBIT,293.9500122,Advance shipping,Cleats,Consumer,CA,93550,Apparel,34.5802269,-118.0599518,Rusia,2719,10/10/16 17:39,5,299.9500122,293.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/13/2016 17:39,Standard Class
DEBIT,293.9500122,Shipping on time,Cleats,Consumer,NY,11218,Apparel,40.64059448,-73.97518921,Rusia,7924,9/16/2016 12:26,5,299.9500122,293.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/20/2016 12:26,Standard Class
DEBIT,293.9500122,Advance shipping,Cleats,Consumer,NY,14120,Apparel,43.02910233,-78.87342072,España,3206,08/02/17 02:53,5,299.9500122,293.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,08/05/17 02:53,Standard Class
DEBIT,293.9500122,Late delivery,Cleats,Consumer,HI,96822,Apparel,21.28050232,-157.6785278,Alemania,11945,8/24/2017 15:06,5,299.9500122,293.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/29/2017 15:06,Standard Class
DEBIT,290.9500122,Advance shipping,Cleats,Consumer,NY,11758,Apparel,40.67998123,-73.4734726,Rusia,3141,10/16/2016 4:41,5,299.9500122,290.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/18/2016 4:41,Standard Class
DEBIT,290.9500122,Advance shipping,Cleats,Consumer,WA,98023,Apparel,47.30304337,-122.3528137,Polonia,4596,11/17/2016 2:32,5,299.9500122,290.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,11/20/2016 2:32,Standard Class
DEBIT,290.9500122,Advance shipping,Cleats,Consumer,CA,90003,Apparel,33.98764038,-118.2705536,España,3942,06/03/15 06:58,5,299.9500122,290.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,06/06/15 06:58,Standard Class
DEBIT,290.9500122,Shipping on time,Cleats,Consumer,CA,90032,Apparel,34.0816536,-118.1783524,Alemania,8065,7/20/2017 22:41,5,299.9500122,290.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/24/2017 22:41,Standard Class
DEBIT,290.9500122,Advance shipping,Cleats,Consumer,CA,92707,Apparel,33.66559982,-117.8830566,Alemania,6758,6/27/2017 12:02,5,299.9500122,290.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/30/2017 12:02,Standard Class
DEBIT,290.9500122,Advance shipping,Cleats,Consumer,CA,94565,Apparel,38.02914047,-121.8859177,Francia,4842,7/22/2015 23:53,5,299.9500122,290.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/25/2015 23:53,Standard Class
DEBIT,287.9500122,Advance shipping,Cleats,Consumer,NJ,7093,Apparel,40.72789002,-74.01309967,España,581,7/17/2017 1:09,5,299.9500122,287.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/19/2017 1:09,Standard Class
DEBIT,287.9500122,Shipping on time,Cleats,Consumer,TX,75217,Apparel,32.71303558,-96.69631958,Italia,4563,9/27/2015 6:48,5,299.9500122,287.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/01/15 06:48,Standard Class
DEBIT,287.9500122,Late delivery,Cleats,Consumer,CA,90007,Apparel,33.99481583,-118.3429413,Francia,9096,9/13/2015 19:05,5,299.9500122,287.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/18/2015 19:05,Standard Class
DEBIT,287.9500122,Shipping on time,Cleats,Consumer,CO,80011,Apparel,39.74662018,-104.8164368,Francia,9813,10/10/15 04:51,5,299.9500122,287.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/14/2015 4:51,Standard Class
DEBIT,284.9500122,Late delivery,Cleats,Consumer,PA,19446,Apparel,40.24931717,-75.25538635,Reino Unido,4612,7/25/2017 10:15,5,299.9500122,284.9500122,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/31/2017 10:15,Standard Class
DEBIT,284.9500122,Late delivery,Cleats,Consumer,NJ,8021,Apparel,39.81664658,-74.98467255,Francia,2492,08/05/17 16:01,5,299.9500122,284.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,08/11/17 16:01,Standard Class
DEBIT,283.4500122,Shipping on time,Cleats,Consumer,CA,92115,Apparel,32.75856018,-117.0881882,España,1445,8/28/2015 1:35,5,299.9500122,283.4500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/01/15 01:35,Standard Class
DEBIT,283.4500122,Advance shipping,Cleats,Consumer,FL,32822,Apparel,28.48579979,-81.30467224,Austria,7327,09/09/17 20:41,5,299.9500122,283.4500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/11/17 20:41,Standard Class
DEBIT,283.4500122,Advance shipping,Cleats,Consumer,MI,48098,Apparel,42.5804596,-83.15601349,Alemania,8701,09/05/17 13:41,5,299.9500122,283.4500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/08/17 13:41,Standard Class
DEBIT,283.4500122,Late delivery,Cleats,Consumer,PA,17331,Apparel,39.79224014,-76.73596191,Francia,7783,7/13/2017 17:37,5,299.9500122,283.4500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/18/2017 17:37,Standard Class
DEBIT,283.4500122,Late delivery,Cleats,Consumer,VA,23452,Apparel,36.82411957,-76.12789154,Francia,5621,10/09/15 20:27,5,299.9500122,283.4500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/14/2015 20:27,Standard Class
DEBIT,278.9500122,Advance shipping,Cleats,Consumer,CA,90046,Apparel,34.09960938,-118.3507385,Rusia,5767,12/29/2016 22:27,5,299.9500122,278.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,12/31/2016 22:27,Standard Class
DEBIT,278.9500122,Late delivery,Cleats,Consumer,CA,93257,Apparel,36.05351639,-119.0251923,Italia,430,6/21/2015 11:50,5,299.9500122,278.9500122,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/26/2015 11:50,Standard Class
DEBIT,272.9500122,Advance shipping,Cleats,Consumer,CA,90046,Apparel,34.09960938,-118.3507385,Rusia,5767,12/29/2016 22:27,5,299.9500122,272.9500122,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,12/31/2016 22:27,Standard Class
DEBIT,272.9500122,Advance shipping,Cleats,Consumer,AZ,85301,Apparel,33.53858185,-112.1873779,Francia,10132,09/02/15 17:52,5,299.9500122,272.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/05/15 17:52,Standard Class
DEBIT,272.9500122,Late delivery,Cleats,Consumer,CA,90638,Apparel,33.9031601,-117.9898758,Francia,7586,6/19/2017 3:17,5,299.9500122,272.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/24/2017 3:17,Standard Class
DEBIT,272.9500122,Advance shipping,Cleats,Consumer,IL,60641,Apparel,41.95346451,-87.73246002,Alemania,12350,7/16/2017 2:43,5,299.9500122,272.9500122,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/19/2017 2:43,Standard Class
DEBIT,269.9599915,Advance shipping,Cleats,Consumer,CA,95122,Apparel,37.3288765,-121.8501511,España,2256,9/16/2015 17:51,5,299.9500122,269.9599915,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/18/2015 17:51,Standard Class
DEBIT,263.9599915,Late delivery,Cleats,Consumer,CA,92707,Apparel,33.66559982,-117.8830566,Reino Unido,6758,07/03/15 00:58,5,299.9500122,263.9599915,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,07/09/15 00:58,Standard Class
DEBIT,263.9599915,Late delivery,Cleats,Consumer,NY,11746,Apparel,40.76157761,-73.97176361,Reino Unido,1045,7/25/2015 19:30,5,299.9500122,263.9599915,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/31/2015 19:30,Standard Class
DEBIT,263.9599915,Shipping on time,Cleats,Consumer,CT,6082,Apparel,41.99694061,-72.59446716,Italia,5939,8/23/2015 23:29,5,299.9500122,263.9599915,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/27/2015 23:29,Standard Class
DEBIT,263.9599915,Late delivery,Cleats,Consumer,ID,83642,Apparel,43.58177948,-116.3938828,Italia,9371,08/02/15 23:42,5,299.9500122,263.9599915,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,08/08/15 23:42,Standard Class
DEBIT,263.9599915,Shipping on time,Cleats,Consumer,CA,93063,Apparel,34.26791382,-118.6712112,Austria,7492,8/31/2016 23:19,5,299.9500122,263.9599915,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/04/16 23:19,Standard Class
DEBIT,263.9599915,Late delivery,Cleats,Consumer,OR,97701,Apparel,44.07599258,-120.9686584,Países Bajos,11536,7/30/2017 12:52,5,299.9500122,263.9599915,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,08/05/17 12:52,Standard Class
DEBIT,263.9599915,Advance shipping,Cleats,Consumer,PA,19134,Apparel,39.98654556,-75.1084671,Francia,10129,06/04/15 12:23,5,299.9500122,263.9599915,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,06/06/15 12:23,Standard Class
DEBIT,260.9599915,Advance shipping,Cleats,Consumer,TX,78520,Apparel,26.01622772,-97.55728912,Polonia,7905,10/23/2016 3:06,5,299.9500122,260.9599915,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/25/2016 3:06,Standard Class
DEBIT,260.9599915,Late delivery,Cleats,Consumer,CA,91706,Apparel,34.06943131,-117.9799881,España,8674,8/14/2015 15:37,5,299.9500122,260.9599915,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/19/2015 15:37,Standard Class
DEBIT,260.9599915,Shipping on time,Cleats,Consumer,OH,44035,Apparel,41.36125946,-82.11012268,Italia,1902,8/23/2015 21:44,5,299.9500122,260.9599915,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/27/2015 21:44,Standard Class
DEBIT,260.9599915,Late delivery,Cleats,Consumer,CA,91766,Apparel,34.28066635,-119.2400665,Francia,2698,06/04/15 11:41,5,299.9500122,260.9599915,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,06/09/15 11:41,Standard Class
DEBIT,260.9599915,Advance shipping,Cleats,Consumer,IL,60657,Apparel,41.89517212,-87.73634338,Francia,1408,6/18/2017 3:28,5,299.9500122,260.9599915,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,6/20/2017 3:28,Standard Class
DEBIT,260.9599915,Late delivery,Cleats,Consumer,MD,21206,Apparel,39.13785553,-76.81587219,Alemania,10549,9/25/2017 2:06,5,299.9500122,260.9599915,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/30/2017 2:06,Standard Class
DEBIT,254.9600067,Shipping on time,Cleats,Consumer,CA,91709,Apparel,34.0086174,-117.7501831,Rusia,9172,01/08/17 10:52,5,299.9500122,254.9600067,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,01/12/17 10:52,Standard Class
DEBIT,254.9600067,Advance shipping,Cleats,Consumer,PA,19104,Apparel,39.95473099,-75.20536804,Polonia,3659,09/06/16 08:36,5,299.9500122,254.9600067,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/09/16 08:36,Standard Class
DEBIT,254.9600067,Shipping on time,Cleats,Consumer,CA,93003,Apparel,34.2395134,-119.1972198,Reino Unido,10827,7/17/2015 11:06,5,299.9500122,254.9600067,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/21/2015 11:06,Standard Class
DEBIT,254.9600067,Late delivery,Cleats,Consumer,IL,60187,Apparel,41.88359833,-88.10980988,Reino Unido,9146,9/22/2015 17:08,5,299.9500122,254.9600067,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/28/2015 17:08,Standard Class
DEBIT,254.9600067,Late delivery,Cleats,Consumer,NJ,7093,Apparel,40.7571907,-74.02506256,Reino Unido,20,08/10/15 20:32,5,299.9500122,254.9600067,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,8/15/2015 20:32,Standard Class
DEBIT,254.9600067,Late delivery,Cleats,Consumer,TX,79109,Apparel,35.18754196,-101.8676224,Francia,8391,9/25/2017 0:21,5,299.9500122,254.9600067,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/30/2017 0:21,Standard Class
DEBIT,251.9600067,Late delivery,Cleats,Consumer,CA,93063,Apparel,34.26791382,-118.6712112,Rusia,7492,11/15/2016 0:26,5,299.9500122,251.9600067,Eastern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,11/20/2016 0:26,Standard Class
DEBIT,251.9600067,Advance shipping,Cleats,Consumer,CA,92024,Apparel,33.04647064,-117.2896729,Reino Unido,11510,7/23/2017 2:53,5,299.9500122,251.9600067,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/26/2017 2:53,Standard Class
DEBIT,251.9600067,Late delivery,Cleats,Consumer,MO,63031,Apparel,38.79660034,-90.34640503,Reino Unido,9500,09/05/15 16:38,5,299.9500122,251.9600067,Northern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,09/10/15 16:38,Standard Class
DEBIT,248.9600067,Late delivery,Cleats,Consumer,NJ,8753,Apparel,40.04056168,-74.15887451,España,10821,9/22/2015 11:53,5,299.9500122,248.9600067,Southern Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/28/2015 11:53,Standard Class
DEBIT,248.9600067,Late delivery,Cleats,Consumer,HI,96822,Apparel,21.30562019,-157.8386993,Francia,4727,08/01/15 07:03,5,299.9500122,248.9600067,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,08/06/15 07:03,Standard Class
DEBIT,248.9600067,Advance shipping,Cleats,Consumer,IL,60622,Apparel,41.89614868,-87.67932892,Francia,10647,7/24/2015 5:19,5,299.9500122,248.9600067,Western Europe,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,7/26/2015 5:19,Standard Class
TRANSFER,41.47999954,Advance shipping,Accessories,Corporate,CA,95822,Outdoors,38.49541855,-121.479187,Chile,7141,1/14/2015 5:03,2,49.97999954,41.47999954,South America,PROCESSING,886,Team Golf San Francisco Giants Putter Grip,24.98999977,1/16/2015 5:03,Standard Class
TRANSFER,26.21999931,Late delivery,Trade-In,Corporate,MD,20744,Outdoors,38.74266434,-76.9917984,Cuba,6172,3/21/2015 23:11,2,31.97999954,26.21999931,Caribbean,PROCESSING,926,Glove It Imperial Golf Towel,15.98999977,3/26/2015 23:11,Standard Class
TRANSFER,51.18000031,Advance shipping,Electronics,Corporate,CA,90805,Outdoors,33.85414505,-118.191597,México,2741,1/20/2017 5:57,2,63.97999954,51.18000031,Central America,PROCESSING,828,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,1/22/2017 5:57,Standard Class
TRANSFER,189.9799957,Shipping canceled,Cardio Equipment,Corporate,MI,48192,Footwear,42.20660782,-83.1534729,Brasil,1180,5/28/2015 15:44,2,199.9799957,189.9799957,South America,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,5/30/2015 15:44,Standard Class
TRANSFER,185.9799957,Shipping canceled,Cardio Equipment,Corporate,NJ,7104,Footwear,40.75481033,-74.1746521,Honduras,6875,1/26/2015 14:51,2,199.9799957,185.9799957,Central America,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,1/28/2015 14:51,Standard Class
TRANSFER,173.9799957,Shipping canceled,Cardio Equipment,Corporate,NY,11204,Footwear,40.63687897,-73.94221497,Brasil,10864,5/27/2015 4:00,2,199.9799957,173.9799957,South America,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,06/01/15 04:00,Standard Class
TRANSFER,167.9799957,Shipping canceled,Cardio Equipment,Corporate,HI,96789,Footwear,21.45325851,-158.0102234,Honduras,242,1/30/2015 1:11,2,199.9799957,167.9799957,Central America,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,02/01/15 01:11,Standard Class
TRANSFER,105.5800018,Shipping canceled,Cleats,Corporate,NY,10011,Apparel,40.73928452,-73.99893189,Guatemala,9002,02/05/17 20:17,2,119.9800034,105.5800018,Central America,SUSPECTED_FRAUD,365,Perfect Fitness Perfect Rip Deck,59.99000168,02/09/17 20:17,Standard Class
TRANSFER,104.3799973,Shipping canceled,Cleats,Corporate,NY,10011,Apparel,40.73928452,-73.99893189,Guatemala,9002,02/05/17 20:17,2,119.9800034,104.3799973,Central America,SUSPECTED_FRAUD,365,Perfect Fitness Perfect Rip Deck,59.99000168,02/09/17 20:17,Standard Class
TRANSFER,104.3799973,Shipping canceled,Cleats,Corporate,NY,11221,Apparel,40.66544724,-73.94540405,México,9145,02/04/15 00:39,2,119.9800034,104.3799973,Central America,SUSPECTED_FRAUD,365,Perfect Fitness Perfect Rip Deck,59.99000168,02/07/15 00:39,Standard Class
TRANSFER,99,Shipping canceled,Women's Apparel,Corporate,OH,45140,Golf,39.27096558,-84.272995,Brasil,7887,5/30/2015 23:47,2,100,99,South America,SUSPECTED_FRAUD,502,Nike Men's Dri-FIT Victory Golf Polo,50,06/01/15 23:47,Standard Class
